BSE_SYMBOL,NSE_SYMBOL,COMPANY_NAME,ISIN
ALPA,ALPA,Alpa Laboratories Limited,INE385I01010
ALPHAGEO,ALPHAGEO,Alphageo (India) Limited,INE137C01018
ALPSINDUS,ALPSINDUS,Alps Industries Limited,INE093B01015
AMBER,AMBER,Amber Enterprises India Limited,INE371P01015
AMBICAAGAR,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012
AMBIKCO,AMBIKCO,Ambika Cotton Mills Limited,INE540G01014
AMBUJACEM,AMBUJACEM,Ambuja Cements Limited,INE079A01024
AMDIND,AMDIND,AMD Industries Limited,INE005I01014
AMJLAND,AMJLAND,Amj Land Holdings Limited,INE606A01024
AMNPLST,AMNPLST,Amines & Plasticizers Limited,INE275D01022
AMRUTANJAN,AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031
ANANDRATHI,ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026
ANANTRAJ,ANANTRAJ,Anant Raj Limited,INE242C01024
ANDHRAPAP,ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051
ANDHRSUGAR,ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021
ANGELONE,ANGELONE,Angel One Limited,INE732I01013
ANIKINDS,ANIKINDS,Anik Industries Limited,INE087B01017
ANKITMETAL,ANKITMETAL,Ankit Metal & Power Limited,INE106I01010
ANMOL,ANMOL,Anmol India Limited,INE02AR01019
ANSALAPI,ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026
 ,ANTGRAPHIC,Antarctica Limited,INE414B01021
ANTHEM,ANTHEM,Anthem Biosciences Limited,INE0CZ201020
ANUHPHR,ANUHPHR,Anuh Pharma Limited,INE489G01022
ANUP,ANUP,The Anup Engineering Limited,INE294Z01018
ANURAS,ANURAS,Anupam Rasayan India Limited,INE930P01018
APARINDS,APARINDS,Apar Industries Limited,INE372A01015
APCL,APCL,Anjani Portland Cement Limited,INE071F01012
APCOTEXIND,APCOTEXIND,Apcotex Industries Limited,INE116A01032
APEX,APEX,Apex Frozen Foods Limited,INE346W01013
APLAPOLLO,APLAPOLLO,APL Apollo Tubes Limited,INE702C01027
APLLTD,APLLTD,Alembic Pharmaceuticals Limited,INE901L01018
APOLLO,APOLLO,Apollo Micro Systems Limited,INE713T01028
APOLLOHOSP,APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024
APOLLOPIPE,APOLLOPIPE,Apollo Pipes Limited,INE126J01016
APOLLOTYRE,APOLLOTYRE,Apollo Tyres Limited,INE438A01022
 ,APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024
APTECHT,APTECHT,Aptech Limited,INE266F01018
APTUS,APTUS,Aptus Value Housing Finance India Limited,INE852O01025
ARCHIDPLY,ARCHIDPLY,Archidply Industries Limited,INE877I01016
ARCHIES,ARCHIES,Archies Limited,INE731A01020
ARE&M,ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032
ARENTERP,ARENTERP,Rajdarshan Industries Limited,INE610C01014
ARFIN,ARFIN,Arfin India Limited,INE784R01023
ARIES,ARIES,Aries Agro Limited,INE298I01015
ARIHANTCAP,ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036
ARIHANTSUP,ARIHANTSUP,Arihant Superstructures Limited,INE643K01018
ARISINFRA,ARISINFRA,Arisinfra Solutions Limited,INE0H9P01028
ARKADE,ARKADE,Arkade Developers Limited,INE0QRL01017
ARMANFIN,ARMANFIN,Arman Financial Services Limited,INE109C01017
AROGRANITE,AROGRANITE,Aro Granite Industries Limited,INE210C01013
ARROWGREEN,ARROWGREEN,Arrow Greentech Limited,INE570D01018
ARSSINFRA,ARSSINFRA,ARSS Infrastructure Projects Limited,INE267I01010
ARTEMISMED,ARTEMISMED,Artemis Medicare Services Limited,INE025R01021
 ,ARTNIRMAN,Art Nirman Limited,INE738V01013
 ,ARVEE,Arvee Laboratories (India) Limited,INE006Z01016
ARVIND,ARVIND,Arvind Limited,INE034A01011
ARVINDFASN,ARVINDFASN,Arvind Fashions Limited,INE955V01021
ARVSMART,ARVSMART,Arvind SmartSpaces Limited,INE034S01021
ASAHIINDIA,ASAHIINDIA,Asahi India Glass Limited,INE439A01020
ASAHISONG,ASAHISONG,Asahi Songwon Colors Limited,INE228I01012
ASAL,ASAL,Automotive Stampings and Assemblies Limited,INE900C01027
ASALCBR,ASALCBR,Associated Alcohols & Breweries Ltd.,INE073G01016
ASHAPURMIN,ASHAPURMIN,Ashapura Minechem Limited,INE348A01023
ASHIANA,ASHIANA,Ashiana Housing Limited,INE365D01021
ASHIMASYN,ASHIMASYN,Ashima Limited,INE440A01010
ASHOKA,ASHOKA,Ashoka Buildcon Limited,INE442H01029
ASHOKAMET,ASHOKAMET,Ashoka Metcast Limited,INE760Y01011
ASHOKLEY,ASHOKLEY,Ashok Leyland Limited,INE208A01029
ASIANENE,ASIANENE,Asian Energy Services Limited,INE276G01015
ASIANHOTNR,ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022
ASIANPAINT,ASIANPAINT,Asian Paints Limited,INE021A01026
ASIANTILES,ASIANTILES,Asian Granito India Limited,INE022I01019
ASKAUTOLTD,ASKAUTOLTD,ASK Automotive Limited,INE491J01022
ASMS,ASMS,Bartronics India Limited,INE855F01042
 ,ASPINWALL,Aspinwall and Company Limited,INE991I01015
ASTEC,ASTEC,Astec LifeSciences Limited,INE563J01010
ASTERDM,ASTERDM,Aster DM Healthcare Limited,INE914M01019
ASTRAL,ASTRAL,Astral Limited,INE006I01046
ASTRAMICRO,ASTRAMICRO,Astra Microwave Products Limited,INE386C01029
ASTRAZEN,ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020
ASTRON,ASTRON,Astron Paper & Board Mill Limited,INE646X01014
ATALREAL,ATALREAL,Atal Realtech Limited,INE0ALR01029
ATAM,ATAM,Atam Valves Limited,INE09KD01013
ATGL,ATGL,Adani Total Gas Limited,INE399L01023
ATHERENERG,ATHERENERG,Ather Energy Limited,INE0LEZ01016
ATL,ATL,Allcargo Terminals Limited,INE0NN701020
ATLANTAA,ATLANTAA,ATLANTAA LIMITED,INE285H01022
ATLASCYCLE,ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025
ATUL,ATUL,Atul Limited,INE100A01010
ATULAUTO,ATULAUTO,Atul Auto Limited,INE951D01028
AUBANK,AUBANK,AU Small Finance Bank Limited,INE949L01017
AURIONPRO,AURIONPRO,Aurionpro Solutions Limited,INE132H01018
AUROPHARMA,AUROPHARMA,Aurobindo Pharma Limited,INE406A01037
AURUM,AURUM,Aurum PropTech Limited,INE898S01029
AUSOMENT,AUSOMENT,Ausom Enterprise Limited,INE218C01016
AUTOAXLES,AUTOAXLES,Automotive Axles Limited,INE449A01011
AUTOIND,AUTOIND,Autoline Industries Limited,INE718H01014
AVADHSUGAR,AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017
AVALON,AVALON,Avalon Technologies Limited,INE0LCL01028
AVANTEL,AVANTEL,Avantel Limited,INE005B01027
AVANTIFEED,AVANTIFEED,Avanti Feeds Limited,INE871C01038
AVG,AVG,AVG Logistics Limited,INE680Z01018
AVL,AVL,Aditya Vision Limited,INE679V01027
AVONMORE,AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024
AVROIND,AVROIND,AVRO INDIA LIMITED,INE652Z01017
AVTNPL,AVTNPL,AVT Natural Products Limited,INE488D01021
AWFIS,AWFIS,Awfis Space Solutions Limited,INE108V01019
AWHCL,AWHCL,Antony Waste Handling Cell Limited,INE01BK01022
AWL,AWL,AWL Agri Business Limited,INE699H01024
AXISBANK,AXISBANK,Axis Bank Limited,INE238A01034
AXISCADES,AXISCADES,AXISCADES Technologies Limited,INE555B01013
AXITA,AXITA,Axita Cotton Limited,INE02EZ01022
AYMSYNTEX,AYMSYNTEX,AYM Syntex Limited,INE193B01039
AZAD,AZAD,Azad Engineering Limited,INE02IJ01035
BAFNAPH,BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022
BAGFILMS,BAGFILMS,B.A.G Films and Media Limited,INE116D01028
BAIDFIN,BAIDFIN,Baid Finserv Limited,INE020D01022
BAJAJ-AUTO,BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010
BAJAJCON,BAJAJCON,Bajaj Consumer Care Limited,INE933K01021
BAJAJELEC,BAJAJELEC,Bajaj Electricals Limited,INE193E01025
BAJAJFINSV,BAJAJFINSV,Bajaj Finserv Limited,INE918I01026
BAJAJHCARE,BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027
BAJAJHFL,BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014
BAJAJHIND,BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021
BAJAJHLDNG,BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012
BAJAJINDEF,BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021
BAJEL,BAJEL,Bajel Projects Limited,INE0KQN01018
BAJFINANCE,BAJFINANCE,Bajaj Finance Limited,INE296A01032
BALAJEE,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011
BALAJITELE,BALAJITELE,Balaji Telefilms Limited,INE794B01026
BALAMINES,BALAMINES,Balaji Amines Limited,INE050E01027
 ,BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022
BALKRISHNA,BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011
BALKRISIND,BALKRISIND,Balkrishna Industries Limited,INE787D01026
BALMLAWRIE,BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016
BALPHARMA,BALPHARMA,Bal Pharma Limited,INE083D01012
BALRAMCHIN,BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028
BALUFORGE,BALUFORGE,Balu Forge Industries Limited,INE011E01029
BANARBEADS,BANARBEADS,Banaras Beads Limited,INE655B01011
BANARISUG,BANARISUG,Bannari Amman Sugars Limited,INE459A01010
BANCOINDIA,BANCOINDIA,Banco Products (I) Limited,INE213C01025
BANDHANBNK,BANDHANBNK,Bandhan Bank Limited,INE545U01014
BANG,BANG,Bang Overseas Limited,INE863I01016
 ,BANKA,Banka BioLoo Limited,INE862Y01015
BANKBARODA,BANKBARODA,Bank of Baroda,INE028A01039
BANKINDIA,BANKINDIA,Bank of India,INE084A01016
BANSALWIRE,BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025
BANSWRAS,BANSWRAS,Banswara Syntex Limited,INE629D01020
BARBEQUE,BARBEQUE,Barbeque Nation Hospitality Limited,INE382M01027
BASF,BASF,BASF India Limited,INE373A01013
BASML,BASML,Bannari Amman Spinning Mills Limited,INE186H01022
BATAINDIA,BATAINDIA,Bata India Limited,INE176A01028
BAYERCROP,BAYERCROP,Bayer Cropscience Limited,INE462A01022
BBL,BBL,Bharat Bijlee Limited,INE464A01036
BBOX,BBOX,Black Box Limited,INE676A01027
BBTC,BBTC,Bombay Burmah Trading Corporation Limited,INE050A01025
BBTCL,BBTCL,B&B Triplewall Containers Limited,INE01EE01011
BCG,BCG,Brightcom Group Limited,INE425B01027
BCLIND,BCLIND,Bcl Industries Limited,INE412G01024
BCONCEPTS,BCONCEPTS,Brand Concepts Limited,INE977Y01011
BDL,BDL,Bharat Dynamics Limited,INE171Z01026
 ,BEARDSELL,Beardsell Limited,INE520H01022
BECTORFOOD,BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01012
BEDMUTHA,BEDMUTHA,Bedmutha Industries Limited,INE844K01012
BEL,BEL,Bharat Electronics Limited,INE263A01024
BELLACASA,BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014
BELRISE,BELRISE,Belrise Industries Limited,INE894V01022
BEML,BEML,BEML Limited,INE258A01016
BEPL,BEPL,Bhansali Engineering Polymers Limited,INE922A01025
BERGEPAINT,BERGEPAINT,Berger Paints (I) Limited,INE463A01038
BESTAGRO,BESTAGRO,Best Agrolife Limited,INE052T01013
BFINVEST,BFINVEST,BF Investment Limited,INE878K01010
BFUTILITIE,BFUTILITIE,BF Utilities Limited,INE243D01012
BGRENERGY,BGRENERGY,BGR Energy Systems Limited,INE661I01014
BHAGCHEM,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027
BHAGERIA,BHAGERIA,Bhageria Industries Limited,INE354C01027
BHAGYANGR,BHAGYANGR,Bhagyanagar India Limited,INE458B01036
BHANDARI,BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029
BHARATFORG,BHARATFORG,Bharat Forge Limited,INE465A01025
BHARATGEAR,BHARATGEAR,Bharat Gears Limited,INE561C01019
BHARATRAS,BHARATRAS,Bharat Rasayan Limited,INE838B01013
BHARATSE,BHARATSE,Bharat Seats Limited,INE415D01024
BHARATWIRE,BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019
BHARTIARTL,BHARTIARTL,Bharti Airtel Limited,INE397D01024
BHARTIHEXA,BHARTIHEXA,Bharti Hexacom Limited,INE343G01021
BHEL,BHEL,Bharat Heavy Electricals Limited,INE257A01026
BIGBLOC,BIGBLOC,Bigbloc Construction Limited,INE412U01025
BIKAJI,BIKAJI,Bikaji Foods International Limited,INE00E101023
BIL,BIL,Bhartiya International Limited,INE828A01016
BILVYAPAR,BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013
BIOCON,BIOCON,Biocon Limited,INE376G01013
BIOFILCHEM,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014
BIRLACABLE,BIRLACABLE,Birla Cable Limited,INE800A01015
BIRLACORPN,BIRLACORPN,Birla Corporation Limited,INE340A01012
BIRLAMONEY,BIRLAMONEY,Aditya Birla Money Limited,INE865C01022
BIRLANU,BIRLANU,BirlaNu Limited,INE557A01011
BLACKBUCK,BLACKBUCK,Zinka Logistics Solutions Limited,INE0UIZ01018
BLAL,BLAL,BEML Land Assets Limited,INE0N7W01012
BLBLIMITED,BLBLIMITED,BLB Limited,INE791A01024
BLISSGVS,BLISSGVS,Bliss GVS Pharma Limited,INE416D01022
BLKASHYAP,BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032
BLS,BLS,BLS International Services Limited,INE153T01027
BLSE,BLSE,BLS E-Services Limited,INE0NLT01010
BLUECOAST,BLUECOAST,Blue Coast Hotels Limited,INE472B01011
BLUEDART,BLUEDART,Blue Dart Express Limited,INE233B01017
BLUEJET,BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020
BLUESTARCO,BLUESTARCO,Blue Star Limited,INE472A01039
BLUSPRING,BLUSPRING,Bluspring Enterprises Limited,INE0U4101014
BODALCHEM,BODALCHEM,Bodal Chemicals Limited,INE338D01028
 ,BOHRAIND,Bohra Industries Limited,INE802W01023
BOMDYEING,BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023
BORANA,BORANA,Borana Weaves Limited,INE16SF01016
BOROLTD,BOROLTD,Borosil Limited,INE02PY01013
BORORENEW,BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022
BOROSCI,BOROSCI,Borosil Scientific Limited,INE02L001032
BOSCHLTD,BOSCHLTD,Bosch Limited,INE323A01026
BPCL,BPCL,Bharat Petroleum Corporation Limited,INE029A01011
BPL,BPL,BPL Limited,INE110A01019
BRIGADE,BRIGADE,Brigade Enterprises Limited,INE791I01019
BRIGHOTEL,BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014
BRITANNIA,BRITANNIA,Britannia Industries Limited,INE216A01030
BRNL,BRNL,Bharat Road Network Limited,INE727S01012
BROOKS,BROOKS,Brooks Laboratories Limited,INE650L01011
 ,BSE,BSE Limited,INE118H01025
 ,BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020
BSL,BSL,BSL Limited,INE594B01012
BSOFT,BSOFT,BIRLASOFT LIMITED,INE836A01035
BTML,BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023
BUTTERFLY,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017
BVCL,BVCL,Barak Valley Cements Limited,INE139I01011
BYKE,BYKE,The Byke Hospitality Ltd,INE319B01014
CALSOFT,CALSOFT,California Software Company Limited,INE526B01014
CAMLINFINE,CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032
CAMPUS,CAMPUS,Campus Activewear Limited,INE278Y01022
CAMS,CAMS,Computer Age Management Services Limited,INE596I01012
CANBK,CANBK,Canara Bank,INE476A01022
CANFINHOME,CANFINHOME,Can Fin Homes Limited,INE477A01020
CANTABIL,CANTABIL,Cantabil Retail India Limited,INE068L01024
CAPACITE,CAPACITE,Capacit'e Infraprojects Limited,INE264T01014
CAPITALSFB,CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017
CAPLIPOINT,CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026
CAPTRUST,CAPTRUST,Capital Trust Limited,INE707C01018
CARBORUNIV,CARBORUNIV,Carborundum Universal Limited,INE120A01034
CARERATING,CARERATING,CARE Ratings Limited,INE752H01013
CARRARO,CARRARO,Carraro India Limited,INE0V7W01012
CARTRADE,CARTRADE,Cartrade Tech Limited,INE290S01011
CARYSIL,CARYSIL,CARYSIL LIMITED,INE482D01024
CASTROLIND,CASTROLIND,Castrol India Limited,INE172A01027
CCCL,CCCL,Consolidated Construction Consortium Limited,INE429I01024
CCHHL,CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027
CCL,CCL,CCL Products (India) Limited,INE421D01022
 ,CDSL,Central Depository Services (India) Limited,INE736A01011
CEATLTD,CEATLTD,CEAT Limited,INE482A01020
CEIGALL,CEIGALL,Ceigall India Limited,INE0AG901020
CELEBRITY,CELEBRITY,Celebrity Fashions Limited,INE185H01016
CELLO,CELLO,Cello World Limited,INE0LMW01024
CENTENKA,CENTENKA,Century Enka Limited,INE485A01015
CENTEXT,CENTEXT,Century Extrusions Limited,INE281A01026
CENTRALBK,CENTRALBK,Central Bank of India,INE483A01010
CENTRUM,CENTRUM,Centrum Capital Limited,INE660C01027
CENTUM,CENTUM,Centum Electronics Limited,INE320B01020
CENTURYPLY,CENTURYPLY,Century Plyboards (India) Limited,INE348B01021
CERA,CERA,Cera Sanitaryware Limited,INE739E01017
CEREBRAINT,CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019
CESC,CESC,CESC Limited,INE486A01021
CEWATER,CEWATER,Concord Enviro Systems Limited,INE037Z01029
CGCL,CGCL,Capri Global Capital Limited,INE180C01042
CGPOWER,CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029
CHALET,CHALET,Chalet Hotels Limited,INE427F01016
CHAMBLFERT,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013
CHEMBOND,CHEMBOND,Chembond Material Technologies Limited,INE995D01025
CHEMBONDCH,CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019
CHEMCON,CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018
CHEMFAB,CHEMFAB,Chemfab Alkalis Limited,INE783X01023
CHEMPLASTS,CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050
CHENNPETRO,CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016
CHEVIOT,CHEVIOT,Cheviot Company Limited,INE974B01016
CHOICEIN,CHOICEIN,Choice International Limited,INE102B01014
CHOLAFIN,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024
CHOLAHLDNG,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033
CIEINDIA,CIEINDIA,CIE Automotive India Limited,INE536H01010
CIFL,CIFL,Capital India Finance Limited,INE345H01024
CIGNITITEC,CIGNITITEC,Cigniti Technologies Limited,INE675C01017
CINELINE,CINELINE,Cineline India Limited,INE704H01022
CINEVISTA,CINEVISTA,Cinevista Limited,INE039B01026
CIPLA,CIPLA,Cipla Limited,INE059A01026
CLEAN,CLEAN,Clean Science and Technology Limited,INE227W01023
CLEDUCATE,CLEDUCATE,CL Educate Limited,INE201M01029
CLSEL,CLSEL,Chaman Lal Setia Exports Limited,INE419D01026
CMSINFO,CMSINFO,CMS Info Systems Limited,INE925R01014
COALINDIA,COALINDIA,Coal India Limited,INE522F01014
COASTCORP,COASTCORP,Coastal Corporation Limited,INE377E01024
COCHINSHIP,COCHINSHIP,Cochin Shipyard Limited,INE704P01025
COFFEEDAY,COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011
COFORGE,COFORGE,Coforge Limited,INE591G01025
COHANCE,COHANCE,Cohance Lifesciences Limited,INE03QK01018
COLPAL,COLPAL,Colgate Palmolive (India) Limited,INE259A01022
COMPUSOFT,COMPUSOFT,Compucom Software Limited,INE453B01029
COMSYN,COMSYN,Commercial Syn Bags Limited,INE073V01015
CONCOR,CONCOR,Container Corporation of India Limited,INE111A01025
CONCORDBIO,CONCORDBIO,Concord Biotech Limited,INE338H01029
